"year","dem_ep","aut_ep"
1900,0,0
1901,3,0
1902,3,0
1903,2,0
1904,3,1
1905,2,1
1906,2,2
1907,1,1
1908,2,1
1909,3,1
1910,3,1
1911,5,1
1912,4,1
1913,2,1
1914,3,2
1915,2,3
1916,5,2
1917,6,3
1918,10,0
1919,16,2
1920,18,1
1921,16,1
1922,12,2
1923,8,4
1924,5,4
1925,5,4
1926,4,6
1927,4,4
1928,1,2
1929,0,3
1930,0,10
1931,2,11
1932,3,8
1933,4,8
1934,4,10
1935,4,10
1936,5,7
1937,5,7
1938,5,7
1939,6,8
1940,5,11
1941,5,9
1942,4,6
1943,5,6
1944,11,4
1945,25,3
1946,33,1
1947,36,2
1948,27,5
1949,23,7
1950,22,4
1951,21,4
1952,19,5
1953,21,5
1954,17,5
1955,21,4
1956,24,2
1957,29,2
1958,32,8
1959,32,10
1960,37,8
1961,36,10
1962,25,9
1963,25,12
1964,23,18
1965,15,19
1966,15,20
1967,16,15
1968,13,14
1969,11,13
1970,14,13
1971,16,11
1972,17,14
1973,18,16
1974,17,10
1975,15,9
1976,12,8
1977,15,5
1978,18,5
1979,22,2
1980,25,5
1981,21,6
1982,22,3
1983,18,3
1984,17,1
1985,18,0
1986,22,1
1987,27,2
1988,31,2
1989,34,1
1990,59,2
1991,64,4
1992,70,5
1993,59,6
1994,51,8
1995,42,9
1996,37,6
1997,35,6
1998,31,8
1999,31,11
2000,35,15
2001,30,14
2002,35,11
2003,36,12
2004,26,13
2005,28,13
2006,26,17
2007,26,17
2008,22,15
2009,23,16
2010,25,18
2011,25,19
2012,22,22
2013,22,26
2014,27,24
2015,21,28
2016,21,34
2017,20,34
2018,21,36
2019,18,41
2020,15,46
2021,16,48
2022,17,46
2023,19,44
