"period","reporter_iso","reporter_desc","trade","total_trade","trade_share"
2000,"CHN","China",288836816087.857,6652313207329.27,0.0434190043501902
2001,"CHN","China",306582625539.894,6419691092599.85,0.0477566009201439
2002,"CHN","China",378136496015.328,6770723566041.01,0.055848757127214
2003,"CHN","China",509183928773.774,7877903307174.2,0.0646344476340645
2004,"CHN","China",686971062096.581,9632163456837.76,0.0713205361573165
2005,"CHN","China",853961289695.306,10913513725798.2,0.0782480611791093
2006,"CHN","China",1054611505791.13,12711157886986.7,0.0829673830793029
2007,"CHN","China",1283779660871.64,14524338924847.8,0.088388164687853
2008,"CHN","China",1479442826178.36,16893733726458.5,0.0875734665961552
2009,"CHN","China",1298220423932.1,13203463638319.7,0.0983242321480206
2010,"CHN","China",1701976342479.23,15947532964351.7,0.106723487970443
2011,"CHN","China",2032320758098.69,19416031103367.8,0.10467230647082
2012,"CHN","China",2171023031094.73,19421943459831.8,0.111781966392025
2013,"CHN","China",2310507452265.65,20083064362856.7,0.115047555020482
2014,"CHN","China",2349409610177.97,19786415579372.6,0.118738515359358
2015,"CHN","China",2197857848682.45,17288792139911.1,0.127126165373271
2016,"CHN","China",2082885560545.95,16713714231263.2,0.124621345783805
2017,"CHN","China",2311122456377.34,18283337612201.9,0.12640593886069
2018,"CHN","China",2566055968685.68,20476444628720.5,0.125317456971338
2019,"CHN","China",2497783286756.92,19691748993128.7,0.126844156282335
2020,"CHN","China",2509490678927.76,18177288860242.5,0.138056378936495
2021,"CHN","China",3184090429503.83,23116553977863.4,0.137740704455904
2022,"CHN","China",3287669324910.29,26046648046118.5,0.126222357636541
2023,"CHN","China",3084382372626.26,24450859736068.2,0.1261461726058
